Requirement ID	CRA source	Normative requirement	Product-specific interpretation	Preliminary applicability	Preliminary applicability rationale	Risk assessment dependency	Required security capability	OpenChain cross-check anchors	Notes / evidence prompts
REQ-CRA-ART30-05	Article 30(5)	Member States ensure correct CE marking use; where other Union harmonisation legislation also requires CE marking, CE marking indicates compliance with those other acts too.	TokenStream should avoid improper CE use and maintain a legal-scope check for any future CE or other Union harmonisation legislation claims.	Applicable as no-misuse guard; formal CE obligations not applicable now	Because the current package is a readiness artifact, it should consistently say it is not CE marking or EU DoC evidence.	Legal analysis determines other CE regimes; risk assessment does not.	CE misuse prevention; cross-framework CE scope review; publication claim control.	OpenChain §7.4 EU DoC & CE Marking; §8 Cross-Framework	Evidence candidates: documentation disclaimer; release/publication claim review; legal scope memo.
REQ-CRA-ART30-06	Article 30(6)	Commission may set technical specifications for labels, pictograms, marks related to security, support periods, and awareness mechanisms.	TokenStream should monitor implementing acts for security labels, pictograms, support-period marks, or awareness mechanisms and update user-facing documentation if relevant.	Applicable as regulatory monitoring readiness	Even without current CE marking, future support-period/security labels could become relevant if distribution scope changes.	Risk assessment may inform support-period/security-risk communication; implementing acts determine formal label content.	Regulatory monitoring; label/pictogram template maintenance; user-facing documentation update.	OpenChain §2.7 Harmonized Standards Tracking; §6.1 Support Period; §7.3 User-Facing Documentation	Evidence candidates: regulatory watch log; documentation update record; future label evidence.
REQ-CRA-ANNII-00	Annex II, chapeau	The product shall be accompanied at minimum by the listed information and instructions to the user.	TokenStream should maintain an Annex II user-information checklist in the technical-file-style evidence package, mapped to public docs and operator guides.	Applicable in voluntary readiness scope	User documentation is security-relevant for self-hosted software even without CE marking. It also feeds Annex VII technical documentation.	Risk assessment should identify which instructions are necessary for secure use and foreseeable misuse mitigation.	User-information checklist; secure operations documentation; evidence mapping.	OpenChain §7.3 User-Facing Documentation; §7.2 Downstream Customer Provisioning	Evidence candidates: Annex II checklist; docs index; README/quickstart/operate guide mapping.
REQ-CRA-ANNII-01	Annex II (1)	User information shall include manufacturer name/trade name/trademark, postal address, email or other digital contact, and website where available.	TokenStream should provide project/maintainer identity and contact details appropriate to the current OSS scope; formal manufacturer identity and postal address should be added only if legal scope requires it.	Applicable as voluntary contact readiness; formal manufacturer identity conditional on legal scope	Users need a reliable project and contact identity, but current non-commercial OSS readiness should not overstate manufacturer status.	Legal scope determines formal manufacturer details; risk assessment does not.	Project identity; contact publication; legal-role marker; user documentation update.	OpenChain §7.3 User-Facing Documentation; §2.2 Roles & Responsibilities	Evidence candidates: README contact section; project website; maintainer/legal identity memo.
REQ-CRA-ANNII-02	Annex II (2)	User information shall include a single point of contact for vulnerability reporting/receiving information and where the CVD policy can be found.	TokenStream should publish a clear security contact and CVD policy location in SECURITY.md, docs, and release/advisory channels.	Applicable in voluntary readiness scope	The existing SECURITY.md is a starting point, but Annex II expects the contact and CVD policy location to be easy for users to find.	Risk assessment should inform escalation paths and severity handling, but the contact itself is a governance/documentation requirement.	Security contact; CVD policy publication; vulnerability reporting instructions; advisory subscription/receiving path.	OpenChain §4.4 Disclosure & Regulatory Reporting; §7.3 User-Facing Documentation	Evidence candidates: SECURITY.md; security.txt if adopted; CVD policy URL; advisory channel.
REQ-CRA-ANNII-03	Annex II (3)	User information shall include product name/type and additional information enabling unique identification.	TokenStream documentation and releases should identify the product as TokenStream and provide version, Git tag/commit, image tags/digests, SBOM identity, and service/component versions where relevant.	Applicable in voluntary readiness scope	Users need unique identification to know whether advisories, support, updates, and configuration guidance apply to their deployment.	Risk assessment should identify security-relevant artifacts that require version identity.	Product identification; version traceability; release identity; affected-version mapping.	OpenChain §3.1 SBOM Generation; §3.3 Provenance & Integrity; §7.3 User-Facing Documentation	Evidence candidates: version.txt; GitHub release; image digest manifest; SBOM product metadata.
REQ-CRA-ANNII-04	Annex II (4)	User information shall include intended purpose, security environment provided by manufacturer, essential functionalities, and information about security properties.	TokenStream should document intended use as a self-hosted AI orchestration/retrieval backend, expected security environment, required operator controls, essential services/functions, and built-in security properties such as auth, policy allowlists, corpus scoping, and secret handling assumptions.	Applicable in voluntary readiness scope	TokenStream security depends on deployment context and operator-controlled network/secrets. Users need to understand what TokenStream provides and what it expects from the environment.	Risk assessment should define intended use, security assumptions, essential functions, and security properties.	Intended-use documentation; security environment definition; essential functionality list; security properties statement.	OpenChain §2.6 Cybersecurity Risk Assessment; §3.4 Secure Development Properties; §7.3 User-Facing Documentation	Evidence candidates: overview docs; architecture docs; secure deployment assumptions; feature/security property matrix.
REQ-CRA-ANNII-05	Annex II (5)	User information shall include known or foreseeable circumstances related to intended use or reasonably foreseeable misuse that may lead to significant cybersecurity risks.	TokenStream should warn users about unsafe deployment and misuse scenarios such as exposing internal services publicly, leaving bootstrap credentials, weak secrets, untrusted uploads/URLs, unsafe MCP tools, overbroad policies, missing TLS/reverse proxy, or using unsupported versions.	Applicable in voluntary readiness scope	The current docs already note some security gaps, including corpus resource hardening. These need to become explicit secure-use warnings for operators.	Risk assessment should identify foreseeable misuse and significant risk scenarios.	Foreseeable misuse warnings; secure deployment guidance; risk communication; hardening checklist.	OpenChain §2.6 Cybersecurity Risk Assessment; §3.4.2 Attack Surface; §7.3 User-Facing Documentation	Evidence candidates: hardening guide; warnings in quickstart; limits/evidence gaps; secure configuration checklist.
REQ-CRA-ANNII-06	Annex II (6)	User information shall include the internet address where the EU DoC can be accessed, where applicable.	TokenStream should mark this not applicable in current no-CE scope; if a DoC is issued later, publish the DoC URL clearly in user documentation.	Not applicable to current non-commercial OSS objective; legal-scope trigger only	No DoC exists and no CE marking is planned. Providing a DoC URL placeholder as if active would mislead users.	Legal scope and formal DoC creation determine applicability.	DoC URL trigger; no-DoC disclaimer; future user documentation slot.	OpenChain §7.3 User-Facing Documentation; §7.4 EU DoC & CE Marking	Evidence candidates now: no-CE/no-DoC statement. Future: DoC URL and simplified DoC.
REQ-CRA-ANNII-07	Annex II (7)	User information shall include technical security support offered and end date of support period during which vulnerabilities are handled and security updates provided.	TokenStream should publish a support/update policy identifying supported versions or rolling-release model, security update expectations, vulnerability handling scope, and end-of-support communication.	Applicable in voluntary readiness scope	OSS users need to know whether their version receives vulnerability handling and updates. This also supports Article 13(8) and Annex VII support-period rationale.	Risk assessment should inform expected use time, supported deployment model, and support-period rationale.	Support policy; security support description; supported-version matrix; end-of-support notice.	OpenChain §6.1 Support Period & Update Obligations; §7.3 User-Facing Documentation	Evidence candidates: support policy; release support matrix; EoS date or rolling-release statement.
REQ-CRA-ANNII-08A	Annex II (8)(a)	Detailed instructions shall cover necessary measures during initial commissioning and throughout product lifetime to ensure secure use.	TokenStream should document secure setup and operations: secret generation, disabling/rotating bootstrap admin, network exposure, reverse proxy/TLS, API key scopes, provider secret references, object storage protection, backup/restore, logging, and update practices.	Applicable in voluntary readiness scope	TokenStream is self-hosted and security posture depends heavily on commissioning and ongoing operator choices.	Risk assessment should identify mandatory secure-use measures and lifetime operations tasks.	Secure installation guide; operations hardening; lifecycle security checklist; configuration baseline.	OpenChain §3.4.1 Secure defaults; §3.4.2 Attack surface; §7.3 User-Facing Documentation	Evidence candidates: quickstart; operate guide; hardening guide; configuration checklist.
REQ-CRA-ANNII-08B	Annex II (8)(b)	Detailed instructions shall explain how changes to the product can affect data security.	TokenStream should explain how configuration, policy, provider, corpus, processor, retrieval profile, MCP tool, upload/source, logging, and deployment changes can affect confidentiality, integrity, availability, and data minimisation.	Applicable in voluntary readiness scope	TokenStream is configuration-driven; small policy or integration changes can expose corpora, tools, provider traffic, or sensitive logs.	Risk assessment should identify security-impacting change types and reassessment triggers.	Security impact guidance for changes; change review checklist; configuration risk communication.	OpenChain §2.4 Sustainability & Review; §3.4.9 Threat Model; §7.3 User-Facing Documentation	Evidence candidates: change-impact section in ops docs; policy change checklist; architecture change trigger list.
REQ-CRA-ANNII-08C	Annex II (8)(c)	Detailed instructions shall explain how security-relevant updates can be installed.	TokenStream should document how to install security updates for source releases, Docker images, dependencies, optional services, and configuration migrations, including verification and rollback considerations.	Applicable in voluntary readiness scope	Security updates are useful only if users can identify and apply them safely. Self-hosted deployments may pin images or branches.	Risk assessment should identify update channels, integrity needs, and operational constraints.	Security update instructions; upgrade verification; rollback guidance; image/source update process.	OpenChain §6.1.2 Security updates; §6.1.3 Secure update mechanism; §7.3 User-Facing Documentation	Evidence candidates: upgrade guide; release notes; image digest verification; migration instructions.
REQ-CRA-ANNII-08D	Annex II (8)(d)	Detailed instructions shall cover secure decommissioning, including how user data can be securely removed.	TokenStream should document how to decommission or purge TokenStream data across SQLite registry, MinIO/object storage, Qdrant vectors, lexical SQLite indexes, runtime snapshots, local volumes, logs, API keys, sessions, and optional Open WebUI data.	Applicable in voluntary readiness scope	TokenStream stores sensitive corpus and configuration data in multiple places. Incomplete deletion can leave credentials, documents, embeddings, or indexes behind.	Risk assessment should identify data stores, retention needs, and deletion verification requirements.	Secure deletion; decommissioning guide; data-store inventory; purge verification.	OpenChain §6.1.7 Secure deletion; §7.3 User-Facing Documentation; Annex I Part I 2(m)	Evidence candidates: decommissioning guide; purge procedure; data inventory; deletion verification checklist.
REQ-CRA-ANNII-08E	Annex II (8)(e)	Detailed instructions shall explain how the default setting enabling automatic installation of security updates can be turned off, where applicable.	TokenStream should state whether automatic security updates exist. In current self-hosted OSS/Compose deployment, automatic updates should be treated as not provided unless an updater is added; if added later, opt-out instructions must be documented.	Applicable as explicit N/A/feature-scope statement; future updater trigger	TokenStream currently appears to rely on user-applied source/container updates rather than automatic updates. This needs explicit documentation to avoid false expectations.	Risk assessment should decide whether automatic updates are technically feasible or desirable for the deployment model.	Automatic-update applicability decision; opt-out documentation if updater exists; update model statement.	OpenChain §6.1.3 Secure software update mechanism; §7.3 User-Facing Documentation	Evidence candidates: update model statement; future auto-update opt-out docs; support policy.
REQ-CRA-ANNII-08F	Annex II (8)(f)	Where intended for integration into other products, detailed instructions shall provide information necessary for integrators to comply with Annex I and Annex VII.	TokenStream should provide integrator guidance for applications embedding or deploying TokenStream behind their own products, including API boundaries, auth/scopes, corpus isolation, provider/tool data flows, logging, update handling, SBOM/evidence references, and secure deployment assumptions.	Applicable in voluntary readiness scope	TokenStream is explicitly designed to sit behind client applications. Downstream integrators need security-relevant information to make their own product and technical documentation decisions.	Risk assessment should identify integration assumptions, shared responsibilities, and downstream risk transfer.	Integrator security guidance; shared responsibility model; API/data-flow documentation; downstream evidence package.	OpenChain §7.2 Downstream Customer Provisioning; §7.3 User-Facing Documentation; §7.1 Technical File	Evidence candidates: integration guide; OpenAPI contracts; architecture diagrams; shared responsibility statement.
REQ-CRA-ANNII-09	Annex II (9)	If the manufacturer decides to make the SBOM available to users, user information shall state where it can be accessed.	TokenStream should decide whether release SBOMs are public, on request, or technical-file-only; if public, documentation should state the SBOM location and version mapping.	Applicable as SBOM disclosure decision; formal user availability optional unless chosen	TokenStream needs SBOMs for evidence and vulnerability management. Public SBOM availability is a separate disclosure decision that should be explicit.	Risk assessment should identify SBOM sensitivity, disclosure benefits, and downstream user needs.	SBOM disclosure policy; SBOM access documentation; release-to-SBOM mapping.	OpenChain §3.1 SBOM Generation; §3.2 SBOM Data Quality; §7.2 SBOM Provisioning; §7.3 User-Facing Documentation	Evidence candidates: SBOM publication page; release artifacts; SBOM access policy; SBOM archive.
