Requirement ID	CRA source	Normative requirement	Product-specific interpretation	Preliminary applicability	Preliminary applicability rationale	Risk assessment dependency	Required security capability	OpenChain cross-check anchors	Notes / evidence prompts
REQ-CRA-ART13-08D	Article 13(8), eighth subparagraph	Have appropriate policies and procedures, including CVD policies, to process and remediate potential vulnerabilities reported from internal or external sources.	TokenStream should maintain a vulnerability handling and CVD process covering reports from maintainers, users, researchers, scanners, dependency feeds, and upstream advisories.	Applicable in voluntary manufacturer-like readiness scope	The existing SECURITY.md is a starting point, but Article 13 expects enforceable policies and procedures, not only a reporting note.	Risk assessment should define severity, escalation, response times, and responsible roles.	Vulnerability intake; CVD policy; triage procedure; internal/external report handling; remediation workflow.	OpenChain §2.1 CRA Policy; §4.1-§4.4 Vulnerability Handling	Evidence candidates: SECURITY.md; CVD policy; vulnerability runbook; triage records.
REQ-CRA-ART13-09	Article 13(9)	Ensure each security update made available during the support period remains available for at least 10 years after issuance or the remainder of the support period, whichever is longer.	TokenStream should define retention and availability expectations for security releases, source tags, advisories, container images or digests, and upgrade documentation.	Applicable in voluntary readiness; formal retention conditional on market placement	TokenStream users may need to access old security releases or advisories to update pinned deployments. Container registry retention and source archive retention require explicit policy.	Risk assessment should identify update channels and artifacts that must remain available.	Security update retention; release archive; advisory retention; artifact availability.	OpenChain §6.1.2 Security updates; §7.1 Technical File retention	Evidence candidates: release archive policy; GitHub releases/tags; registry retention settings; advisory archive.
REQ-CRA-ART13-10	Article 13(10)	For substantially modified software versions, compliance with Annex I Part II(2) may be ensured only for the latest placed version if previous-version users can access the latest version free of charge and without additional hardware/software adjustment costs.	TokenStream should decide whether security remediation is maintained for multiple supported versions or only the latest version, and document conditions for free upgrade and compatibility.	Conditional; relevant if version support is limited to latest release	TokenStream likely uses source/container releases where upgrading is free, but environment adjustment costs and breaking changes may still matter for self-hosted operators.	Risk assessment should inform supported-version strategy and upgrade compatibility assumptions.	Version support policy; upgrade compatibility; free upgrade access; substantial modification tracking.	OpenChain §6.1 Support Period & Update Obligations; §7.2 Downstream Provisioning	Evidence candidates: version support matrix; upgrade guide; breaking-change policy; changelog.
REQ-CRA-ART13-11	Article 13(11)	Public software archives may be maintained, but users must be clearly informed about risks associated with unsupported software.	TokenStream should label unsupported historical releases, branches, container tags, or documentation versions with clear end-of-support and security-risk notices.	Applicable if historical versions are publicly archived	Open-source projects naturally keep historical Git tags and releases. Users may deploy old versions unless warnings are visible.	Risk assessment should identify unsupported-version risks and necessary warnings.	Unsupported-version warning; archive labeling; EoS communication; release documentation hygiene.	OpenChain §6.1.4 End-of-support communication; §6.1.6 EoS transition	Evidence candidates: GitHub release notices; docs version warnings; EoS statement; archive policy.
REQ-CRA-ART13-12A	Article 13(12), first subparagraph	Before placing on the market, draw up technical documentation referred to in Article 31.	TokenStream should maintain a voluntary technical-file-style package with product description, architecture, risk assessment, Annex I applicability, security testing, SBOM, vulnerability handling, support period, and user instructions.	Applicable for voluntary readiness; formal obligation conditional on market placement	A technical-file package is useful even without CE marking because it anchors the evidence model and future self-certification readiness.	Risk assessment determines technical-file content and requirement applicability.	Technical file compilation; evidence index; document ownership; versioning.	OpenChain §7.1 Technical File	Evidence candidates: technical file index; architecture diagram; risk assessment; SBOM; test reports.
REQ-CRA-ART13-12B	Article 13(12), second subparagraph	Carry out or have carried out the chosen conformity assessment procedure under Article 32.	TokenStream should record that no formal conformity assessment is being performed for the current non-commercial OSS scope; if market-placement scope changes, select and execute the applicable Article 32 route.	Not applicable to current non-commercial OSS objective; legal-scope trigger only	The user has stated there will be no actual CE marking. Keeping this row prevents accidental implied conformity claims.	Risk assessment may support future conformity assessment, but legal role/scope determines whether this becomes active.	Conformity pathway decision; legal scope review; no-CE disclaimer; future trigger criteria.	OpenChain §2.5 Product Assessment; §7.3 EU DoC & CE Marking	Evidence candidates: legal/scope memo; no-CE statement; future conformity plan placeholder.
REQ-CRA-ART13-12C	Article 13(12), third subparagraph	If conformity is demonstrated, draw up EU Declaration of Conformity and affix CE marking.	TokenStream should not issue an EU DoC or CE marking in the current non-commercial OSS scope; if scope changes, DoC and CE evidence must follow successful conformity assessment.	Not applicable to current non-commercial OSS objective; legal-scope trigger only	This is deliberately outside the present goal. Including it marks the boundary between readiness evidence and formal market conformity.	Legal scope and conformity assessment outcome determine applicability.	EU DoC control; CE marking control; conformity evidence release gate.	OpenChain §7.3 EU DoC & CE Marking; §7.4 EU Declaration of Conformity & CE Marking	Evidence candidates if future scope changes: DoC, CE marking evidence, conformity assessment records.
REQ-CRA-ART13-13	Article 13(13)	Keep technical documentation and EU DoC available to market surveillance authorities for at least 10 years after market placement or support period, whichever is longer.	TokenStream should define voluntary evidence retention for the technical-file package; EU DoC retention is not applicable unless a formal DoC is issued later.	Applicable for voluntary technical evidence retention; DoC/MSA obligation conditional on market placement	Retention supports auditability and future transition to formal conformity, while avoiding a false claim that an EU DoC exists.	Risk assessment should inform retention for security-relevant evidence and support-period records.	Evidence retention; technical file archive; access control; DoC retention trigger.	OpenChain §2.4.4 Record archive; §7.1.5 Technical documentation retention	Evidence candidates: retention policy; archive location; technical file custodian.
REQ-CRA-ART13-14	Article 13(14)	Ensure procedures are in place for series production to remain in conformity and account for changes in development/production, product design/characteristics, harmonised standards, cybersecurity schemes, or common specifications.	TokenStream should maintain procedures so recurring releases remain aligned with the requirement register, risk assessment, security gates, dependency updates, and evolving standards/guidance.	Applicable in voluntary release-readiness scope	TokenStream is software with repeated releases rather than physical series production. The equivalent is release/change governance across code, containers, configs, docs, and standards changes.	Risk assessment should define what changes require reassessment or release gate review.	Release governance; change control; standards monitoring; recurrent conformity review; substantial-change trigger.	OpenChain §2.4 Sustainability & Review; §2.7 Harmonized Standards Tracking; §3.4.10 Release Security Gate	Evidence candidates: release checklist; standards watch log; change impact assessment; CI records.
REQ-CRA-ART13-15	Article 13(15)	Ensure products bear type, batch, serial number, or other identification, or provide that information on packaging/accompanying document where not possible.	TokenStream should provide unique product and release identification through product name, semantic version, Git tag/commit, container image tag/digest, SBOM metadata, and documentation version.	Applicable in voluntary readiness scope; physical marking not applicable to software-only distribution	Software-only releases still need clear identity so users can determine affected versions and apply security advisories.	Risk assessment should confirm which artifacts identify deployed product versions.	Product identification; release/version traceability; artifact identity; SBOM product metadata.	OpenChain §3.1 SBOM Generation; §3.3 Provenance & Integrity; §7.3 User-Facing Docs	Evidence candidates: version.txt; Git tags; image digests; SBOM product fields; release notes.
REQ-CRA-ART13-16	Article 13(16)	Indicate manufacturer name/trade name/trademark, contact address/email/digital contact, website where applicable, and include this in user information; contact details must be understandable to users/MSAs.	TokenStream should publish maintainer/project identity and security/contact channels in README, documentation, release pages, and user-facing instructions.	Conditional as manufacturer obligation; applicable as voluntary project/contact readiness	The current project is OSS/non-commercial, but users still need to know who maintains the project and how to contact maintainers for security and support questions.	Legal scope should determine whether "manufacturer" identity is declared; risk assessment does not decide legal identity.	Project identity; contact publication; user documentation; legal-role marker.	OpenChain §7.3 User-Facing Documentation; §5.2 Steward vs Maintainer Boundaries	Evidence candidates: README contact section; SECURITY.md; project website; maintainer/legal role memo.
REQ-CRA-ART13-17	Article 13(17)	Designate a single point of contact for direct and rapid communication, including vulnerability reporting; make it easily identifiable, include it in user instructions, and do not limit communication to automated tools.	TokenStream should provide a clear human-reachable security contact and vulnerability reporting path, not only automated issue templates or bots.	Applicable in voluntary readiness scope	The current SECURITY.md says report privately to the maintainer, but a CRA-ready register should capture a concrete contact and communication process.	Risk assessment should define severity escalation, but contact designation is a governance decision.	Single point of contact; vulnerability reporting channel; non-automated communication path; user instruction update.	OpenChain §4.4 Disclosure & Regulatory Reporting; §7.3 User-Facing Documentation	Evidence candidates: SECURITY.md contact; security.txt; docs contact page; response runbook.
REQ-CRA-ART13-18	Article 13(18)	Ensure the product is accompanied by Annex II information and user instructions in understandable language, clear and legible, enabling secure installation, operation, and use; keep online/user info available for 10 years or support period if longer.	TokenStream should provide user/operator documentation covering intended use, secure installation, configuration, secrets, exposed ports, update installation, vulnerability reporting, support period, secure decommissioning, and integrator guidance.	Applicable in voluntary readiness scope; formal retention conditional on market placement	TokenStream is self-hosted and security depends heavily on operator configuration. Clear secure-use instructions are a real security requirement even outside CE marking.	Risk assessment should identify security-relevant instructions, foreseeable misuse, and operator assumptions.	Secure user documentation; Annex II checklist; operations guide; documentation retention; language/accessibility decision.	OpenChain §7.3 User-Facing Documentation; §7.2 Downstream Customer Provisioning	Evidence candidates: README; quickstart; operations guide; Annex II mapping; secure deployment guide.
REQ-CRA-ART13-19	Article 13(19)	Ensure the support-period end date, at least month and year, is clearly specified at purchase/access time and where applicable by digital means; where technically feasible, notify users when support ends.	TokenStream should publish support-period or supported-version information in release/docs channels and warn users about unsupported versions where technically feasible.	Applicable in voluntary readiness scope; purchase-time language conditional on market placement	Self-hosted OSS users often access the project through GitHub/docs rather than purchase. The equivalent is a visible support/version policy and EoS notices.	Risk assessment should inform expected use time and support strategy.	Support-period communication; EoS notification; supported-version policy; unsupported-version warnings.	OpenChain §6.1.1 Support Period; §6.1.4 End-of-support communication	Evidence candidates: support policy; release page notices; docs banner; EoS announcement template.
REQ-CRA-ART13-20	Article 13(20)	Provide EU Declaration of Conformity or simplified EU Declaration of Conformity with exact URL for full DoC.	TokenStream should not provide an EU DoC in the current no-CE non-commercial OSS scope; if scope changes, maintain DoC publication/access process.	Not applicable to current non-commercial OSS objective; legal-scope trigger only	This is a formal market conformity artifact and outside the stated certification-readiness goal.	Legal scope and conformity assessment determine applicability, not cybersecurity risk alone.	DoC publication trigger; no-DoC disclaimer; future conformity artifact management.	OpenChain §7.3 EU DoC & CE Marking; §7.4 EU Declaration of Conformity & CE Marking	Evidence candidates if future scope changes: simplified DoC, full DoC URL, DoC version history.
REQ-CRA-ART13-21	Article 13(21)	From market placement and during support period, if manufacturer knows or has reason to believe product or processes are non-conformant with Annex I, immediately take corrective measures to restore conformity or withdraw/recall as appropriate.	TokenStream should define a corrective-action process for discovered security nonconformities, including emergency fixes, mitigations, advisories, disabling unsafe features, or withdrawing affected releases where appropriate.	Applicable in voluntary readiness; withdrawal/recall formalism conditional on market placement	TokenStream can discover serious gaps in controls, vulnerability handling, secure defaults, or released artifacts. A corrective-action process is useful even if formal recall is out of scope.	Risk assessment should define severity thresholds and corrective action urgency.	Corrective action; nonconformity triage; emergency release; release withdrawal; user notification.	OpenChain §4.3 Actionable Decisions; §4.4 Disclosure; §6.1 Update Obligations	Evidence candidates: corrective action log; emergency release runbook; advisory; withdrawn tag/image record if needed.
REQ-CRA-ART13-22	Article 13(22)	Provide information and documentation to market surveillance authority on reasoned request and cooperate on measures to eliminate cybersecurity risks.	TokenStream should maintain a voluntary response workflow for technical-file/evidence requests; formal MSA cooperation applies only if CRA market scope is triggered.	Applicable for voluntary evidence readiness; formal MSA obligation conditional on market placement	A response workflow ensures evidence is locatable and helps avoid panic if future legal scope changes. It should not imply current market surveillance obligations.	Risk assessment should inform what evidence must be available; legal role determines formal MSA obligation.	Evidence request workflow; document retrieval; cooperation procedure; legal escalation.	OpenChain §7.1.3 MSA deliverables; §7.1.6 MSA response workflow	Evidence candidates: evidence index; response SOP; named custodian; legal escalation path.
REQ-CRA-ART13-23	Article 13(23)	If the manufacturer ceases operations and cannot comply, inform relevant market surveillance authorities and users of affected products before cessation.	TokenStream should define project discontinuation or maintainer-exit communication for users, including security support implications and archived status; formal authority notification is conditional on market placement.	Applicable as voluntary project continuity/EoS readiness; formal MSA obligation conditional	TokenStream users could be harmed by silent abandonment because vulnerabilities and dependencies continue to evolve. OSS project continuity should be explicit.	Risk assessment should inform user impact and transition needs if support ceases.	Cessation communication; project archival policy; EoS transition; user notification.	OpenChain §6.1.5-§6.1.6 EoS transition; §2.4 Sustainability & Review	Evidence candidates: project archival procedure; EoS announcement template; maintainer succession note.
REQ-CRA-ART13-24	Article 13(24)	The Commission may specify SBOM format and elements by implementing acts, taking into account standards and best practices.	TokenStream should monitor CRA implementing acts, harmonised standards, common specifications, and SBOM format guidance, and update its SBOM profile accordingly.	Applicable as standards-monitoring readiness	SBOM expectations may evolve. A static SBOM profile may become stale before formal CRA deadlines or future distribution changes.	Risk assessment should identify SBOM use cases, but standards monitoring determines format updates.	Regulatory/standards monitoring; SBOM profile maintenance; tooling update process.	OpenChain §2.7 Harmonized Standards Tracking; §3.1 SBOM Generation; §3.2 SBOM Data Quality	Evidence candidates: standards watch log; SBOM profile; tooling validation reports.
REQ-CRA-ART13-25	Article 13(25)	ADCO may conduct dependency assessments for product categories and market surveillance authorities may request relevant SBOMs for anonymised/aggregated dependency information.	TokenStream should be able to produce relevant SBOMs for dependency-analysis requests if future market scope applies; voluntary readiness should ensure SBOMs are retrievable and product-version specific.	Conditional on market scope and authority request; voluntary SBOM readiness applicable	This is not a day-to-day product control, but it reinforces the need for accurate, retrievable SBOMs tied to released versions.	Risk assessment should classify component criticality, but legal/authority request triggers formal response.	SBOM retrieval; dependency assessment support; release-to-SBOM traceability; authority request workflow.	OpenChain §3.1-§3.2 SBOM; §7.1 Technical File; §7.2 SBOM provisioning	Evidence candidates: release SBOM archive; SBOM-to-version mapping; response workflow.
